Target_genes	ATF3|Average	SRX190245|A549	SRX2207915|CS1AN	SRX2207916|CS1AN	SRX2207917|CS1AN	SRX2207918|CS1AN	SRX1759184|Dermal_fibroblast	SRX1759186|Dermal_fibroblast	SRX109484|GBM1-HAM	SRX100553|GM12878	SRX1384025|HCT_116	SRX1384026|HCT_116	SRX1384029|HCT_116	SRX190213|HCT_116	SRX100548|Hep_G2	SRX100557|hESC_H1	SRX100425|K-562	SRX150471|K-562	STRING
NUMB	39.000000	0	0	114	0	433	0	0	0	0	0	0	0	116	0	0	0	0	0
MATN2	39.000000	0	0	171	0	277	0	0	0	0	0	0	0	215	0	0	0	0	0
LOC730098	39.000000	0	0	0	0	341	0	0	0	0	175	0	0	147	0	0	0	0	0
KRCC1	39.000000	0	0	0	0	545	0	0	0	0	118	0	0	0	0	0	0	0	0
GRAMD1C	39.000000	0	0	219	0	157	0	0	0	0	0	0	0	287	0	0	0	0	0
FSD1	39.000000	0	0	0	0	340	0	0	0	0	161	0	0	0	0	0	162	0	0
EFHD1	39.000000	0	0	234	0	262	0	0	0	0	0	0	0	167	0	0	0	0	0
C1QTNF6	39.000000	0	0	122	0	304	0	0	0	0	237	0	0	0	0	0	0	0	0
UBE2G2	38.941176	0	0	82	0	457	0	0	0	0	0	0	0	0	0	0	123	0	0
MAP3K2	38.941176	0	0	94	0	441	0	0	0	0	0	0	0	127	0	0	0	0	0
HLA-A	38.941176	0	0	156	0	422	0	0	0	0	0	0	0	84	0	0	0	0	0
HCCS	38.941176	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	479	0	0
FBXO27	38.941176	0	0	0	0	543	0	0	0	0	0	0	0	119	0	0	0	0	0
DYNC1H1	38.941176	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	205	0	0
DCAF12	38.941176	0	0	0	0	236	0	0	0	0	229	0	0	197	0	0	0	0	0
C12orf29	38.941176	0	0	0	0	400	0	0	0	0	0	0	0	119	0	0	143	0	0
BMPR1A	38.941176	0	0	0	0	276	0	0	0	0	266	0	0	0	0	0	120	0	0
RUNDC1	38.882353	0	0	0	0	337	0	0	0	0	165	0	0	0	0	0	159	0	0
RNF6	38.882353	0	0	89	0	382	0	0	0	0	0	0	0	190	0	0	0	0	0
RIMBP3C	38.882353	0	0	0	0	285	0	0	0	0	0	0	0	112	0	0	264	0	0
RIMBP3B	38.882353	0	0	0	0	285	0	0	0	0	0	0	0	112	0	0	264	0	0
PTGES3L-AARSD1	38.882353	0	0	0	0	337	0	0	0	0	165	0	0	0	0	0	159	0	0
PDGFB	38.882353	0	0	0	0	83	0	0	0	176	0	0	0	0	140	0	262	0	0
PAPSS1	38.882353	0	0	0	0	362	0	0	0	0	0	0	0	138	0	0	161	0	0
MIDN	38.882353	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	435	0	0
KMT5B	38.882353	353	0	0	0	192	0	0	0	0	0	0	0	116	0	0	0	0	0
ATP5MF-PTCD1	38.882353	0	0	0	0	140	0	0	0	169	0	0	0	157	0	0	195	0	0
ATP5MF	38.882353	0	0	0	0	140	0	0	0	169	0	0	0	157	0	0	195	0	0
RSPH3	38.823529	0	0	0	0	231	0	0	0	0	130	0	0	172	0	0	127	0	0
PARVB	38.823529	0	0	0	0	172	0	0	0	273	0	0	0	0	0	0	215	0	0
KPNA5	38.823529	0	0	0	0	280	0	0	0	0	85	0	0	149	0	0	146	0	0
ITGB3	38.823529	0	0	133	0	527	0	0	0	0	0	0	0	0	0	0	0	0	0
EREG	38.823529	0	0	79	0	164	0	0	0	0	285	0	0	132	0	0	0	0	0
DPYD	38.823529	0	0	150	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf52	38.823529	0	0	0	0	301	0	0	0	0	228	0	0	131	0	0	0	0	0
WDTC1	38.764706	0	0	0	0	343	0	0	0	0	0	0	0	175	0	0	141	0	0
JAG1	38.764706	0	0	141	0	278	0	0	0	0	240	0	0	0	0	0	0	0	0
ITPR1	38.764706	0	0	0	0	280	0	0	0	0	0	0	0	116	0	0	263	0	0
GPER1	38.764706	0	0	142	0	144	0	0	133	0	240	0	0	0	0	0	0	0	0
ERMP1	38.764706	111	0	108	0	238	0	0	0	0	0	0	0	202	0	0	0	0	0
TRAK1	38.705882	0	0	0	0	269	0	0	0	0	0	0	0	103	0	0	286	0	0
TFDP2	38.705882	0	0	0	0	472	0	0	0	0	186	0	0	0	0	0	0	0	0
PDE4D	38.705882	167	0	78	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0
NMI	38.705882	0	0	89	0	569	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1B3	38.705882	0	0	157	0	374	0	0	0	0	0	0	0	0	0	0	127	0	0
ACVR1C	38.705882	0	0	133	0	424	0	0	0	0	0	0	0	101	0	0	0	0	0
TRIM44	38.647059	0	0	61	0	397	0	0	0	0	0	0	0	0	0	0	199	0	0
TMBIM4	38.647059	93	0	112	0	186	0	0	0	0	0	0	0	266	0	0	0	0	0
PARVA	38.647059	0	0	79	0	360	0	0	0	0	88	0	0	130	0	0	0	0	0
GOLM1	38.647059	0	0	0	0	452	0	0	0	0	205	0	0	0	0	0	0	0	0
EIF4A2	38.647059	136	0	0	0	342	0	0	0	0	0	0	0	179	0	0	0	0	0
DOCK7	38.647059	0	0	100	0	381	0	0	0	0	0	0	0	176	0	0	0	0	0
CDK6	38.647059	0	0	155	0	155	0	0	0	0	0	0	0	238	0	109	0	0	0
ZNF484	38.588235	72	0	0	0	165	0	0	0	0	105	0	0	174	0	0	140	0	0
NUDT14	38.588235	0	0	0	0	126	0	0	0	202	0	0	0	0	0	0	328	0	0
KBTBD8	38.588235	0	0	0	0	215	0	0	0	0	0	0	0	100	0	0	341	0	0
GSTP1	38.588235	0	0	0	0	187	0	0	0	0	217	0	0	81	0	0	171	0	0
ETV1	38.588235	0	0	0	0	313	0	0	0	0	0	0	0	0	0	115	228	0	0
SOX5	38.529412	0	0	110	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0
SHBG	38.529412	129	0	0	0	231	0	0	0	136	0	0	0	0	0	0	159	0	0
PNISR	38.529412	79	0	0	0	0	0	0	0	224	0	0	0	155	0	0	197	0	0
PLAG1	38.529412	0	0	97	0	434	0	0	0	0	0	0	0	124	0	0	0	0	0
PFN2	38.529412	0	0	91	0	447	0	0	0	0	0	0	0	117	0	0	0	0	0
KIFC3	38.529412	0	0	0	0	194	0	0	79	0	246	0	0	0	0	0	136	0	0
JKAMP	38.529412	0	0	145	0	437	0	0	0	0	0	0	0	73	0	0	0	0	0
ETV5	38.529412	0	0	72	0	341	0	0	0	0	176	0	0	66	0	0	0	0	0
ETV4	38.529412	0	0	193	0	345	0	0	0	0	0	0	0	117	0	0	0	0	0
DOC2B	38.529412	0	0	0	0	94	0	0	0	0	153	0	243	0	165	0	0	0	0
COX19	38.529412	0	0	0	0	309	0	0	0	0	88	0	0	147	0	0	111	0	0
CHCHD7	38.529412	0	0	97	0	434	0	0	0	0	0	0	0	124	0	0	0	0	0
ADSL	38.529412	0	0	0	0	341	0	0	0	0	205	0	109	0	0	0	0	0	0
SPR	38.470588	0	0	105	0	461	0	0	0	0	0	0	0	88	0	0	0	0	0
SHPRH	38.470588	0	0	0	0	307	0	0	0	0	0	0	0	220	0	0	127	0	0
SCN8A	38.470588	0	0	170	0	311	0	0	0	0	173	0	0	0	0	0	0	0	0
LIFR	38.470588	0	0	94	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0
ESCO2	38.470588	0	0	0	0	235	0	0	0	150	0	0	0	85	0	0	184	0	0
ZNF827	38.411765	0	0	97	0	456	0	0	0	0	0	0	0	100	0	0	0	0	0
TXN2	38.411765	137	0	0	0	187	0	0	0	0	184	0	0	145	0	0	0	0	0
TCOF1	38.411765	0	0	105	0	476	0	0	0	0	0	0	0	0	0	0	72	0	0
SVEP1	38.411765	0	0	91	0	562	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3TC2	38.411765	0	0	0	0	224	0	0	0	0	230	0	0	199	0	0	0	0	0
RAB3B	38.411765	0	0	0	0	505	0	0	0	0	148	0	0	0	0	0	0	0	0
PTPRE	38.411765	0	0	0	0	228	0	0	0	0	109	0	83	233	0	0	0	0	0
LYPD1	38.411765	0	0	95	0	250	0	0	0	0	129	0	0	0	0	179	0	0	0
KIF27	38.411765	0	0	101	0	552	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QL4	38.411765	0	0	317	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf91	38.411765	0	0	0	0	571	0	0	0	0	0	0	82	0	0	0	0	0	0
ZNF92	38.352941	84	0	0	0	189	0	0	0	0	274	0	0	105	0	0	0	0	0
RUBCN	38.352941	0	0	0	0	436	0	0	0	0	132	0	0	84	0	0	0	0	0
NR2C2	38.352941	0	0	122	0	530	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf115	38.352941	0	0	219	0	284	0	0	0	0	0	0	0	149	0	0	0	0	0
TMEM120B	38.294118	0	0	0	0	338	0	0	0	0	134	0	0	0	0	0	179	0	0
TBC1D8	38.294118	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	308	0	0
SUCLA2	38.294118	0	0	0	0	375	0	0	0	0	133	0	0	143	0	0	0	0	0
MRPL19	38.294118	0	0	108	0	324	0	0	0	0	108	0	0	111	0	0	0	0	0
MAGEA12	38.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651	0	0
CSAG1	38.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651	0	0
COA6	38.294118	0	0	141	0	327	0	0	0	0	0	0	0	183	0	0	0	0	0
CNRIP1	38.294118	0	0	173	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0
SKP1	38.235294	0	0	0	0	349	0	0	0	0	80	0	0	221	0	0	0	0	0
RBM34	38.235294	138	0	0	0	170	0	0	0	0	0	0	0	133	0	0	209	0	0
BEX4	38.235294	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	532	0	0
ARHGAP35	38.235294	107	0	150	0	246	0	0	0	0	147	0	0	0	0	0	0	0	0
ZNF875	38.176471	132	0	110	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0
SRP14	38.176471	0	0	143	0	385	0	0	0	0	0	0	0	121	0	0	0	0	0
RASAL2	38.176471	0	0	0	0	370	0	0	0	0	99	0	0	180	0	0	0	0	0
PEX6	38.176471	0	0	0	0	549	0	0	0	0	0	0	0	100	0	0	0	0	0
KIAA1841	38.176471	0	0	88	0	392	0	0	0	0	0	0	86	83	0	0	0	0	0
IDH1	38.176471	0	0	293	0	273	0	0	0	0	0	0	0	83	0	0	0	0	0
GLCCI1	38.176471	0	0	282	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKEF1	38.176471	0	0	69	0	413	0	0	0	0	0	0	0	167	0	0	0	0	0
TMEM268	38.117647	0	0	0	0	477	0	0	0	0	0	0	0	171	0	0	0	0	0
NFKBID	38.117647	0	0	0	0	304	0	0	0	0	152	0	0	192	0	0	0	0	0
NFIA	38.117647	0	0	259	0	301	0	0	0	0	0	0	0	88	0	0	0	0	0
NDUFA4L2	38.117647	0	0	215	0	0	0	170	110	0	153	0	0	0	0	0	0	0	0
HSP90B1	38.117647	0	0	0	0	411	0	0	0	0	0	0	0	237	0	0	0	0	0
ERBIN	38.117647	0	0	152	0	288	0	0	0	0	0	0	0	0	0	0	208	0	0
COL1A1	38.117647	0	0	176	0	220	0	0	0	0	0	0	117	135	0	0	0	0	0
CDC6	38.117647	0	0	0	0	142	0	0	0	0	0	0	0	135	0	0	371	0	0
C3orf14	38.117647	0	0	161	0	260	0	125	0	0	0	0	0	0	0	102	0	0	0
ATP5F1E	38.117647	0	0	71	0	577	0	0	0	0	0	0	0	0	0	0	0	0	0
AMD1	38.117647	0	0	113	0	250	0	0	0	0	136	0	0	149	0	0	0	0	0
TTC23L	38.058824	129	0	0	0	397	0	0	0	0	0	0	0	121	0	0	0	0	0
PRR19	38.058824	118	0	0	0	208	0	0	0	0	0	0	0	174	0	0	147	0	0
PAFAH1B3	38.058824	118	0	0	0	208	0	0	0	0	0	0	0	174	0	0	147	0	0
EAPP	38.058824	0	0	85	0	366	0	0	0	0	196	0	0	0	0	0	0	0	0
DBT	38.058824	0	0	0	0	177	0	0	0	0	174	0	0	200	0	0	96	0	0
CEP43	38.058824	0	0	0	0	277	0	0	0	0	117	0	0	162	0	0	91	0	0
ACSS2	38.058824	0	0	0	0	519	0	0	0	0	128	0	0	0	0	0	0	0	0
POGZ	38.000000	0	0	186	0	306	0	0	0	0	0	0	0	154	0	0	0	0	0
PEX19	38.000000	159	0	0	0	240	0	0	0	0	0	0	0	247	0	0	0	0	0
HRCT1	38.000000	0	0	0	0	162	0	176	137	0	0	0	0	171	0	0	0	0	0
EMP2	38.000000	0	0	229	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3RF2	37.941176	0	0	0	0	260	0	0	0	0	193	0	0	192	0	0	0	0	0
PIP5K1C	37.941176	0	0	0	0	164	0	0	0	0	343	0	0	138	0	0	0	0	0
MPP3	37.941176	0	0	0	0	376	0	0	0	0	163	0	0	0	0	0	106	0	0
LOC101927572	37.941176	0	0	0	0	541	0	0	0	0	0	0	0	104	0	0	0	0	0
FBXW8	37.941176	0	0	0	0	400	0	0	0	0	0	0	0	160	0	0	85	0	0
ANO8	37.941176	0	0	0	0	193	0	0	0	0	199	0	0	89	0	0	164	0	0
ALKBH6	37.941176	0	0	0	0	541	0	0	0	0	0	0	0	104	0	0	0	0	0
TPX2	37.882353	0	0	0	0	289	0	0	0	0	0	0	0	108	124	0	123	0	0
TDRD3	37.882353	0	0	259	0	306	0	0	0	0	0	0	0	79	0	0	0	0	0
SMPDL3A	37.882353	0	0	0	0	490	0	0	0	0	0	0	0	154	0	0	0	0	0
PPIL3	37.882353	194	0	0	0	155	0	0	0	0	0	0	0	295	0	0	0	0	0
NIF3L1	37.882353	194	0	0	0	155	0	0	0	0	0	0	0	295	0	0	0	0	0
JPT1	37.882353	140	0	0	0	354	0	0	0	0	0	0	0	150	0	0	0	0	0
DNASE2	37.882353	0	0	0	0	131	0	0	0	0	221	0	117	109	0	0	66	0	0
ADA	37.882353	0	0	264	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0
ZXDC	37.823529	0	0	88	0	310	0	0	0	0	128	0	0	117	0	0	0	0	0
ZW10	37.823529	0	0	0	0	272	0	0	0	0	0	0	0	166	0	0	205	0	0
TMEM62	37.823529	0	0	0	0	390	0	0	0	0	0	0	0	134	0	0	119	0	0
TEX2	37.823529	0	0	0	0	315	0	0	124	0	0	0	0	204	0	0	0	0	0
RIT1	37.823529	0	0	79	0	410	0	0	0	0	0	0	0	0	0	0	154	0	0
RB1	37.823529	0	0	0	0	404	0	0	0	0	142	0	0	97	0	0	0	0	0
MRPS34	37.823529	249	0	0	0	95	0	0	0	0	0	0	0	195	0	0	104	0	0
EME2	37.823529	249	0	0	0	95	0	0	0	0	0	0	0	195	0	0	104	0	0
DICER1	37.823529	0	0	0	0	434	0	0	105	0	0	0	0	104	0	0	0	0	0
VHL	37.764706	0	0	0	0	558	0	0	0	0	0	0	0	84	0	0	0	0	0
USP40	37.764706	105	0	63	0	384	0	0	0	0	0	0	0	90	0	0	0	0	0
TRIM28	37.764706	0	0	0	0	332	0	0	0	0	81	0	0	80	0	0	149	0	0
SNX9	37.764706	0	0	0	0	255	0	0	0	0	143	0	0	0	0	0	244	0	0
SETD5	37.764706	0	0	163	0	479	0	0	0	0	0	0	0	0	0	0	0	0	0
SCML1	37.764706	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	266	0
REST	37.764706	0	0	77	0	404	0	0	0	0	0	0	0	0	0	0	161	0	0
RAB36	37.764706	0	0	0	0	308	0	0	0	0	227	0	0	0	0	0	107	0	0
MYO18A	37.764706	0	0	121	0	310	0	0	0	0	0	0	0	0	0	0	211	0	0
KLLN	37.764706	142	0	0	0	236	0	0	0	0	0	0	0	264	0	0	0	0	0
VKORC1	37.705882	0	0	0	0	370	0	0	0	0	0	0	0	92	0	0	179	0	0
TSACC	37.705882	0	0	0	0	307	0	0	0	104	0	0	0	135	0	0	95	0	0
TMEM39B	37.705882	0	0	107	0	395	0	0	0	0	0	0	0	139	0	0	0	0	0
TCTA	37.705882	0	0	0	0	324	0	0	0	0	165	0	0	152	0	0	0	0	0
SRSF3	37.705882	0	0	0	0	171	0	0	0	0	0	0	0	133	122	0	215	0	0
SFPQ	37.705882	0	0	0	0	389	0	0	0	0	107	0	0	145	0	0	0	0	0
RHOA	37.705882	0	0	0	0	324	0	0	0	0	165	0	0	152	0	0	0	0	0
RALY	37.705882	0	0	70	0	458	0	0	0	0	0	0	0	113	0	0	0	0	0
PRMT6	37.705882	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	251	0	0
GPR146	37.705882	0	0	116	0	318	0	0	0	0	0	0	0	0	0	0	207	0	0
GDI2	37.705882	0	0	0	0	326	0	0	0	0	0	0	0	147	168	0	0	0	0
CCT3	37.705882	0	0	0	0	307	0	0	0	104	0	0	0	135	0	0	95	0	0
ZNF566	37.647059	77	0	127	0	252	0	0	0	0	0	0	0	92	0	0	92	0	0
UPF3A	37.647059	0	0	135	0	286	0	0	0	0	102	0	117	0	0	0	0	0	0
TMED7-TICAM2	37.647059	0	0	0	0	489	0	0	0	0	0	0	0	151	0	0	0	0	0
TMED7	37.647059	0	0	0	0	489	0	0	0	0	0	0	0	151	0	0	0	0	0
SDHD	37.647059	139	0	0	0	200	0	0	0	0	0	0	0	191	0	0	110	0	0
MTMR12	37.647059	0	0	0	0	503	0	0	0	0	137	0	0	0	0	0	0	0	0
FOXO6	37.647059	0	0	0	0	301	0	0	0	0	339	0	0	0	0	0	0	0	0
ZNF846	37.588235	86	0	0	0	381	0	0	0	0	0	0	0	0	0	0	172	0	0
ZBTB47	37.588235	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	372	0	0
SUSD5	37.588235	0	0	81	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0
SSTR5	37.588235	0	0	90	0	0	0	0	0	0	549	0	0	0	0	0	0	0	0
SCRN3	37.588235	0	0	89	0	440	0	0	0	0	0	0	0	110	0	0	0	0	0
PSMB5	37.588235	0	0	0	0	370	0	0	0	0	147	0	0	122	0	0	0	0	0
ICA1	37.588235	0	0	0	0	152	0	0	0	0	179	0	130	178	0	0	0	0	0
DKK1	37.588235	0	0	267	0	198	0	0	0	0	0	0	0	174	0	0	0	0	0
DCAF5	37.588235	0	0	161	0	311	0	0	0	0	0	0	0	167	0	0	0	0	0
CIR1	37.588235	0	0	89	0	440	0	0	0	0	0	0	0	110	0	0	0	0	0
ANK1	37.588235	0	0	0	0	239	0	0	0	0	141	0	118	141	0	0	0	0	0
ZNF260	37.529412	72	0	0	0	337	0	0	0	0	0	0	0	0	0	0	229	0	0
SPATA20	37.529412	0	0	134	0	364	0	0	0	0	0	0	0	140	0	0	0	0	0
PRR16	37.529412	0	0	95	0	403	0	0	0	0	0	0	0	0	0	0	140	0	0
PLCL2	37.529412	0	0	131	0	507	0	0	0	0	0	0	0	0	0	0	0	0	0
H2AC19	37.529412	134	0	0	0	204	0	0	0	0	153	0	0	147	0	0	0	0	0
H2AC18	37.529412	134	0	0	0	204	0	0	0	0	153	0	0	147	0	0	0	0	0
FXR1	37.529412	118	0	80	0	314	0	0	0	0	0	0	0	126	0	0	0	0	0
CDH24	37.529412	0	0	141	0	270	0	0	0	0	0	0	0	131	0	0	96	0	0
BRSK1	37.529412	0	0	272	0	112	0	0	0	0	254	0	0	0	0	0	0	0	0
ACTR2	37.529412	0	0	84	0	458	0	0	0	0	0	0	0	96	0	0	0	0	0
ZFP82	37.470588	0	0	0	0	637	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM183B	37.470588	0	0	108	0	529	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM177	37.470588	0	0	0	0	387	0	0	0	0	145	0	0	105	0	0	0	0	0
SLC25A25	37.470588	0	0	0	0	369	0	0	0	0	268	0	0	0	0	0	0	0	0
NAIF1	37.470588	0	0	0	0	369	0	0	0	0	268	0	0	0	0	0	0	0	0
MBD2	37.470588	0	0	0	0	319	0	0	0	0	0	0	0	158	0	0	160	0	0
UBLCP1	37.411765	96	0	0	0	397	0	0	0	0	0	0	0	143	0	0	0	0	0
TUT4	37.411765	0	0	164	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0
SNW1	37.411765	0	0	0	0	299	0	0	0	0	0	0	0	127	0	0	210	0	0
RAC1	37.411765	0	0	0	0	382	0	0	0	0	0	0	0	254	0	0	0	0	0
PTPRM	37.411765	102	0	128	0	328	0	0	0	0	0	0	0	78	0	0	0	0	0
PNMA1	37.411765	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	181	0	0
FAM25A	37.411765	0	0	0	0	0	0	0	0	0	509	0	0	127	0	0	0	0	0
DISC1	37.411765	0	0	133	0	342	0	0	0	0	0	0	0	161	0	0	0	0	0
CPNE4	37.411765	0	0	255	0	248	0	0	0	0	0	0	0	133	0	0	0	0	0
CC2D2B	37.411765	0	0	128	0	212	0	0	0	0	185	0	0	111	0	0	0	0	0
C21orf91	37.411765	0	0	127	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0
ZMIZ2	37.352941	0	0	183	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS52	37.352941	0	0	94	0	0	0	0	0	0	148	0	0	243	0	0	150	0	0
TWIST1	37.352941	0	0	130	159	346	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS18	37.352941	0	0	94	0	0	0	0	0	0	148	0	0	243	0	0	150	0	0
PYGB	37.352941	0	0	93	0	442	0	0	0	0	0	0	0	100	0	0	0	0	0
PRUNE2	37.352941	0	0	136	0	499	0	0	0	0	0	0	0	0	0	0	0	0	0
PCBP1	37.352941	0	0	232	0	265	0	0	0	0	0	0	0	0	0	0	138	0	0
MTRNR2L1	37.352941	262	0	0	0	0	0	0	0	184	0	0	0	0	0	0	189	0	0
MKNK1	37.352941	0	0	0	0	355	0	0	0	0	0	0	0	280	0	0	0	0	0
FAN1	37.352941	125	0	0	0	417	0	0	0	0	0	0	0	93	0	0	0	0	0
DHRS7	37.352941	0	0	0	0	546	0	0	0	0	0	0	0	89	0	0	0	0	0
CCDC57	37.352941	234	0	0	0	171	0	0	0	0	0	0	0	230	0	0	0	0	0
ZSWIM6	37.294118	0	0	0	0	177	0	0	0	0	0	0	0	186	0	0	271	0	0
SDAD1	37.294118	146	0	0	0	219	0	0	0	0	0	0	0	179	0	0	90	0	0
RPRM	37.294118	0	0	126	0	372	0	0	0	0	0	0	0	136	0	0	0	0	0
RAB28	37.294118	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	348	0	0
PGM1	37.294118	0	0	98	0	447	0	0	0	0	0	0	0	89	0	0	0	0	0
MFAP4	37.294118	0	0	0	0	196	0	304	0	0	134	0	0	0	0	0	0	0	0
LOX	37.294118	0	0	156	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPC	37.294118	0	0	0	0	418	0	0	0	0	0	0	0	96	0	0	120	0	0
C12orf65	37.294118	153	0	0	0	343	0	0	0	0	0	0	0	138	0	0	0	0	0
TNIK	37.235294	0	0	198	0	119	0	0	0	0	0	0	211	105	0	0	0	0	0
STX17	37.235294	0	0	76	0	424	0	0	0	0	133	0	0	0	0	0	0	0	0
SLC5A6	37.235294	0	0	0	0	482	0	0	0	0	0	0	0	151	0	0	0	0	0
SERPINI1	37.235294	0	0	71	0	275	0	0	0	0	0	0	0	163	0	0	124	0	0
PDZD9	37.235294	0	0	241	0	140	0	0	102	0	150	0	0	0	0	0	0	0	0
PDCD10	37.235294	0	0	71	0	275	0	0	0	0	0	0	0	163	0	0	124	0	0
KRBA2	37.235294	128	0	0	0	124	0	0	0	0	125	0	0	256	0	0	0	0	0
FBXL13	37.235294	0	0	0	0	393	0	0	0	0	0	0	0	137	0	0	103	0	0
FAM161B	37.235294	0	0	0	0	370	0	0	0	0	0	0	128	135	0	0	0	0	0
DNAJC28	37.235294	0	0	0	0	231	0	0	0	90	0	0	0	81	105	0	126	0	0
CREG1	37.235294	0	0	91	0	542	0	0	0	0	0	0	0	0	0	0	0	0	0
COQ6	37.235294	0	0	0	0	370	0	0	0	0	0	0	128	135	0	0	0	0	0
ATRAID	37.235294	0	0	0	0	482	0	0	0	0	0	0	0	151	0	0	0	0	0
ARMC10	37.235294	0	0	0	0	393	0	0	0	0	0	0	0	137	0	0	103	0	0
AP3M1	37.235294	96	0	0	0	314	0	0	0	0	0	0	0	94	0	0	129	0	0
TMEM63A	37.176471	0	0	0	0	184	0	0	0	0	0	0	0	206	0	0	242	0	0
STEAP2	37.176471	0	0	0	0	333	0	0	0	0	0	0	0	299	0	0	0	0	0
POLR2F	37.176471	121	0	0	0	258	0	0	0	0	0	0	0	116	0	0	137	0	0
MAP3K3	37.176471	0	0	88	0	281	0	0	0	0	174	0	0	89	0	0	0	0	0
CDC42EP2	37.176471	0	0	172	0	340	0	0	0	0	0	0	0	0	0	0	120	0	0
C22orf23	37.176471	121	0	0	0	258	0	0	0	0	0	0	0	116	0	0	137	0	0
ZNF777	37.117647	146	0	0	0	198	0	0	0	0	0	0	0	188	0	0	99	0	0
TFPI2	37.117647	132	0	161	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0
SS18	37.117647	0	0	0	0	297	0	0	0	0	0	0	0	114	0	0	220	0	0
SMAP2	37.117647	0	0	103	0	414	0	0	0	0	0	0	0	114	0	0	0	0	0
NEIL2	37.117647	0	0	0	0	526	0	0	0	0	0	0	0	105	0	0	0	0	0
HLTF	37.117647	101	0	0	0	194	0	0	0	0	0	0	104	104	0	0	128	0	0
AK7	37.117647	0	0	0	0	631	0	0	0	0	0	0	0	0	0	0	0	0	0
TLR5	37.058824	0	0	174	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP3CA	37.058824	0	0	209	0	334	0	0	0	0	0	0	0	87	0	0	0	0	0
METTL18	37.058824	75	0	0	0	122	0	0	0	0	172	0	178	83	0	0	0	0	0
MAST4	37.058824	0	0	0	0	337	0	0	0	0	293	0	0	0	0	0	0	0	0
LMAN2	37.058824	235	0	0	0	216	0	0	0	0	0	0	0	179	0	0	0	0	0
DHRS4L2	37.058824	0	0	0	0	345	0	0	0	0	94	0	0	90	101	0	0	0	0
DHCR24	37.058824	0	0	94	0	536	0	0	0	0	0	0	0	0	0	0	0	0	0
CNOT6L	37.058824	0	0	131	0	402	0	0	0	0	0	0	0	97	0	0	0	0	0
C1orf112	37.058824	75	0	0	0	122	0	0	0	0	172	0	178	83	0	0	0	0	0
ATP8B2	37.058824	0	0	189	0	336	0	0	0	0	0	0	0	0	0	0	105	0	0
ZYG11A	37.000000	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	230	0	0
YPEL2	37.000000	0	0	0	0	548	0	0	0	0	0	0	0	0	0	0	81	0	0
USP24	37.000000	0	0	78	0	450	0	0	0	0	0	0	0	101	0	0	0	0	0
TMSB10	37.000000	0	0	0	0	413	0	0	0	0	0	0	0	216	0	0	0	0	0
STARD7	37.000000	0	0	88	0	283	0	0	0	0	0	0	0	76	0	0	182	0	0
PSMC3	37.000000	113	0	0	0	305	0	0	0	0	0	0	0	117	0	0	94	0	0
PPP1R3C	37.000000	0	0	0	0	409	0	0	0	0	0	0	0	0	102	118	0	0	0
MICU2	37.000000	0	0	0	0	419	0	0	0	0	0	0	0	117	0	0	93	0	0
LDB1	37.000000	0	0	0	0	211	0	0	0	0	0	0	117	100	0	0	201	0	0
KBTBD2	37.000000	0	0	85	0	436	0	0	0	0	0	0	0	108	0	0	0	0	0
